Rk,Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
55,Yoshinori Tateyama\tateyyo01,2,2011,2012,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.37,Dec 26 1975,May 24 2011,Daito Osaka,1
56,Kazuo Fukumori\fukumka01,1,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.38,Aug 4 1976,Mar 31 2008,Miyakonojo Miyazaki,/1
57,Kazuhisa Makita\makitka01,1,2018,2018,0,25,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-0.40,Nov 10 1984,Mar 30 2018,Yaizu Shizuoka,/1
58,Kei Igawa\igawake01,2,2007,2008,0,2,2,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,-0.46,Jul 13 1979,Apr 7 2007,Oarai Ibaraki,/1
59,Takahito Nomura\nomurta01,1,2002,2002,0,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.60,Jan 10 1969,Apr 3 2002,Kochi Kochi,/1
60,Yasuhiko Yabuta\yabutya01,2,2008,2009,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.61,Jun 19 1973,Apr 5 2008,Kishiwada Osaka,1
61,Bobby Fenwick\fenwibo01,2,1972,1973,0,41,59,56,7,10,3,0,0,5,0,1,3,15,.179,.220,.232,.452,-0.63,Dec 10 1946,Apr 26 1972,Naha Okinawa,/465
62,Jeff McCurry\mccurje01,5,1995,1999,0,106,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-0.78,Jan 21 1970,May 6 1995,Tokyo Tokyo,1
63,Norihiro Nakamura\nakamno01,1,2005,2005,0,17,41,39,1,5,2,0,0,3,0,0,2,7,.128,.171,.179,.350,-0.81,Jul 24 1973,Apr 10 2005,Osaka Osaka,/5364
64,Micheal Nakamura\nakammi01,2,2003,2004,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.87,Sep 6 1976,Jun 7 2003,Nara Nara,1
65,Masumi Kuwata\kuwatma01,1,2007,2007,0,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.95,Apr 1 1968,Jun 10 2007,Yao Osaka,/1
66,Ryota Igarashi\igarary01,3,2010,2012,0,77,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.39,May 28 1979,Apr 8 2010,Chiba Chiba,1
67,Tsuyoshi Nishioka\nishits01,2,2011,2012,0,71,254,233,14,50,5,0,0,20,2,4,16,44,.215,.267,.236,.503,-2.30,Jul 27 1984,Apr 1 2011,Nara Nara,6/4D
,Totals,284,1964,2019,27,12256,38939,34870,4734,9547,1539,276,621,3463,1169,344,3053,5553,.274,.335,.387,.722,327.41,,,,
